MISO Hourly Temperatures (Fahrenheit) in Major Cities
Hourly temperature data for major cities
Source: EIA collected from NOAA
Indianapolis Temperature (Fahrenheit),Indianapolis Temperature Observation Time (Eastern Standard),Minneapolis Temperature (Fahrenheit),Minneapolis Temperature Observation Time (Eastern Standard),New Orleans International Airport Temperature (Fahrenheit),New Orleans International Airport Temperature Observation Time (Eastern Standard),UTC Timestamp (Interval Ending),Local Timestamp Eastern Standard Time (Interval Beginning),Local Timestamp Eastern Standard Time (Interval Ending),Local Date,Hour Number
34.0,2020-01-01 00:54:00,14.0,2020-01-01 00:53:00,50.0,2020-01-01 00:53:00,2020-01-01 06:00:00,2020-01-01 00:00:00,2020-01-01 01:00:00,2020-01-01,1
34.0,2020-01-01 01:54:00,15.1,2020-01-01 01:53:00,52.0,2020-01-01 01:53:00,2020-01-01 07:00:00,2020-01-01 01:00:00,2020-01-01 02:00:00,2020-01-01,2
34.0,2020-01-01 02:54:00,16.0,2020-01-01 02:53:00,52.0,2020-01-01 02:53:00,2020-01-01 08:00:00,2020-01-01 02:00:00,2020-01-01 03:00:00,2020-01-01,3
34.0,2020-01-01 03:54:00,14.0,2020-01-01 03:53:00,55.0,2020-01-01 03:53:00,2020-01-01 09:00:00,2020-01-01 03:00:00,2020-01-01 04:00:00,2020-01-01,4
33.1,2020-01-01 04:54:00,14.0,2020-01-01 04:53:00,55.0,2020-01-01 04:53:00,2020-01-01 10:00:00,2020-01-01 04:00:00,2020-01-01 05:00:00,2020-01-01,5
34.0,2020-01-01 05:54:00,15.1,2020-01-01 05:53:00,51.1,2020-01-01 05:53:00,2020-01-01 11:00:00,2020-01-01 05:00:00,2020-01-01 06:00:00,2020-01-01,6
33.1,2020-01-01 06:54:00,17.1,2020-01-01 06:53:00,51.1,2020-01-01 06:53:00,2020-01-01 12:00:00,2020-01-01 06:00:00,2020-01-01 07:00:00,2020-01-01,7
30.9,2020-01-01 07:54:00,18.0,2020-01-01 07:53:00,53.1,2020-01-01 07:53:00,2020-01-01 13:00:00,2020-01-01 07:00:00,2020-01-01 08:00:00,2020-01-01,8
30.9,2020-01-01 08:54:00,18.0,2020-01-01 08:53:00,53.1,2020-01-01 08:53:00,2020-01-01 14:00:00,2020-01-01 08:00:00,2020-01-01 09:00:00,2020-01-01,9
34.0,2020-01-01 09:54:00,18.0,2020-01-01 09:53:00,55.9,2020-01-01 09:53:00,2020-01-01 15:00:00,2020-01-01 09:00:00,2020-01-01 10:00:00,2020-01-01,10
37.9,2020-01-01 10:54:00,23.0,2020-01-01 10:53:00,57.9,2020-01-01 10:53:00,2020-01-01 16:00:00,2020-01-01 10:00:00,2020-01-01 11:00:00,2020-01-01,11
41.0,2020-01-01 11:54:00,27.0,2020-01-01 11:53:00,59.0,2020-01-01 11:53:00,2020-01-01 17:00:00,2020-01-01 11:00:00,2020-01-01 12:00:00,2020-01-01,12
44.1,2020-01-01 12:54:00,30.0,2020-01-01 12:53:00,61.0,2020-01-01 12:53:00,2020-01-01 18:00:00,2020-01-01 12:00:00,2020-01-01 13:00:00,2020-01-01,13
45.0,2020-01-01 13:54:00,30.9,2020-01-01 13:53:00,62.1,2020-01-01 13:53:00,2020-01-01 19:00:00,2020-01-01 13:00:00,2020-01-01 14:00:00,2020-01-01,14
46.9,2020-01-01 14:54:00,32.0,2020-01-01 14:53:00,63.0,2020-01-01 14:53:00,2020-01-01 20:00:00,2020-01-01 14:00:00,2020-01-01 15:00:00,2020-01-01,15
46.9,2020-01-01 15:54:00,33.1,2020-01-01 15:53:00,62.1,2020-01-01 15:53:00,2020-01-01 21:00:00,2020-01-01 15:00:00,2020-01-01 16:00:00,2020-01-01,16
45.0,2020-01-01 16:54:00,34.0,2020-01-01 16:53:00,62.1,2020-01-01 16:53:00,2020-01-01 22:00:00,2020-01-01 16:00:00,2020-01-01 17:00:00,2020-01-01,17
42.1,2020-01-01 17:54:00,33.1,2020-01-01 17:53:00,62.1,2020-01-01 17:53:00,2020-01-01 23:00:00,2020-01-01 17:00:00,2020-01-01 18:00:00,2020-01-01,18
42.1,2020-01-01 18:54:00,30.0,2020-01-01 18:53:00,61.0,2020-01-01 18:53:00,2020-01-02 00:00:00,2020-01-01 18:00:00,2020-01-01 19:00:00,2020-01-01,19
41.0,2020-01-01 19:54:00,33.1,2020-01-01 19:53:00,59.0,2020-01-01 19:53:00,2020-01-02 01:00:00,2020-01-01 19:00:00,2020-01-01 20:00:00,2020-01-01,20
39.9,2020-01-01 20:54:00,34.0,2020-01-01 20:53:00,60.1,2020-01-01 20:53:00,2020-01-02 02:00:00,2020-01-01 20:00:00,2020-01-01 21:00:00,2020-01-01,21
41.0,2020-01-01 21:54:00,35.1,2020-01-01 21:53:00,60.1,2020-01-01 21:53:00,2020-01-02 03:00:00,2020-01-01 21:00:00,2020-01-01 22:00:00,2020-01-01,22
41.0,2020-01-01 22:54:00,35.1,2020-01-01 22:53:00,60.1,2020-01-01 22:53:00,2020-01-02 04:00:00,2020-01-01 22:00:00,2020-01-01 23:00:00,2020-01-01,23
39.9,2020-01-01 23:54:00,36.0,2020-01-01 23:53:00,59.0,2020-01-01 23:53:00,2020-01-02 05:00:00,2020-01-01 23:00:00,2020-01-02 00:00:00,2020-01-01,24
39.9,2020-01-02 00:54:00,35.1,2020-01-02 00:53:00,61.0,2020-01-02 00:53:00,2020-01-02 06:00:00,2020-01-02 00:00:00,2020-01-02 01:00:00,2020-01-02,1
41.0,2020-01-02 01:54:00,35.1,2020-01-02 01:53:00,60.1,2020-01-02 01:53:00,2020-01-02 07:00:00,2020-01-02 01:00:00,2020-01-02 02:00:00,2020-01-02,2
