MISO Hourly Wind Generation (megawatt hour) for MISO System
Hourly system-level wind generation data for MISO
Source: EIA collected from MISO
UTC Timestamp (Interval Ending),Local Timestamp Eastern Standard Time (Interval Beginning),Local Timestamp Eastern Standard Time (Interval Ending),Local Date,Hour Number,MISO Total Wind Generation (MW)
2024-01-01 06:00:00,2024-01-01 00:00:00,2024-01-01 01:00:00,2024-01-01,1,6301.66
2024-01-01 07:00:00,2024-01-01 01:00:00,2024-01-01 02:00:00,2024-01-01,2,6138.89
2024-01-01 08:00:00,2024-01-01 02:00:00,2024-01-01 03:00:00,2024-01-01,3,5978.91
2024-01-01 09:00:00,2024-01-01 03:00:00,2024-01-01 04:00:00,2024-01-01,4,5583.63
2024-01-01 10:00:00,2024-01-01 04:00:00,2024-01-01 05:00:00,2024-01-01,5,5210.86
2024-01-01 11:00:00,2024-01-01 05:00:00,2024-01-01 06:00:00,2024-01-01,6,4982.18
2024-01-01 12:00:00,2024-01-01 06:00:00,2024-01-01 07:00:00,2024-01-01,7,4664.82
2024-01-01 13:00:00,2024-01-01 07:00:00,2024-01-01 08:00:00,2024-01-01,8,4402.16
2024-01-01 14:00:00,2024-01-01 08:00:00,2024-01-01 09:00:00,2024-01-01,9,4453.49
2024-01-01 15:00:00,2024-01-01 09:00:00,2024-01-01 10:00:00,2024-01-01,10,4422.03
2024-01-01 16:00:00,2024-01-01 10:00:00,2024-01-01 11:00:00,2024-01-01,11,4625.17
2024-01-01 17:00:00,2024-01-01 11:00:00,2024-01-01 12:00:00,2024-01-01,12,4583.74
2024-01-01 18:00:00,2024-01-01 12:00:00,2024-01-01 13:00:00,2024-01-01,13,4846.7
2024-01-01 19:00:00,2024-01-01 13:00:00,2024-01-01 14:00:00,2024-01-01,14,5996.42
2024-01-01 20:00:00,2024-01-01 14:00:00,2024-01-01 15:00:00,2024-01-01,15,7462.78
2024-01-01 21:00:00,2024-01-01 15:00:00,2024-01-01 16:00:00,2024-01-01,16,8081.19
2024-01-01 22:00:00,2024-01-01 16:00:00,2024-01-01 17:00:00,2024-01-01,17,8775.37
2024-01-01 23:00:00,2024-01-01 17:00:00,2024-01-01 18:00:00,2024-01-01,18,10560.81
2024-01-02 00:00:00,2024-01-01 18:00:00,2024-01-01 19:00:00,2024-01-01,19,12951.01
